metric,value
Year=2012; Rating=[9250000 - 9260000],1
Year=2012; Rating=[210000 - 220000],9
Year=2011; Rating=[160000 - 170000],13
Year=2010; Rating=[370000 - 380000],2
Year=2013; Rating=[880000 - 890000],2
Year=2018; Rating=[360000 - 370000],11
Year=2012; Rating=[990000 - 1000000],1
Year=2011; Rating=[4990000 - 5000000],1
Year=2014; Rating=[490000 - 500000],3
Year=2014; Rating=[1400000 - 1410000],1
Year=2016; Rating=[310000 - 320000],10
Year=2021; Rating=[340000 - 350000],4
Year=2018; Rating=[180000 - 190000],24
Year=2017; Rating=[320000 - 330000],5
Year=2017; Rating=[610000 - 620000],4
Year=2020; Rating=[540000 - 550000],4
Year=2019; Rating=[830000 - 840000],3
Year=2016; Rating=[210000 - 220000],23
Year=2018; Rating=[280000 - 290000],10
Year=2011; Rating=[190000 - 200000],12
Year=2010; Rating=[1820000 - 1830000],1
Year=2011; Rating=[230000 - 240000],8
Year=2016; Rating=[230000 - 240000],25
Year=2018; Rating=[770000 - 780000],4
Year=2014; Rating=[230000 - 240000],28
Year=2020; Rating=[340000 - 350000],8
Year=2016; Rating=[850000 - 860000],3
Year=2018; Rating=[640000 - 650000],3
Year=2015; Rating=[640000 - 650000],2
Year=2012; Rating=[250000 - 260000],11
Year=2014; Rating=[520000 - 530000],9
Year=2018; Rating=[200000 - 210000],14
Year=2015; Rating=[220000 - 230000],15
Year=2011; Rating=[330000 - 340000],3
Year=2014; Rating=[870000 - 880000],3
Year=2019; Rating=[340000 - 350000],12
Year=2010; Rating=[500000 - 510000],1
Year=2014; Rating=[190000 - 200000],23
Year=2016; Rating=[860000 - 870000],1
Year=2012; Rating=[470000 - 480000],3
Year=2010; Rating=[5810000 - 5820000],1
Year=2016; Rating=[740000 - 750000],1
Year=2015; Rating=[1380000 - 1390000],2
Year=2017; Rating=[490000 - 500000],5
Year=2012; Rating=[770000 - 780000],2
Year=2012; Rating=[1050000 - 1060000],1
Year=2020; Rating=[430000 - 440000],3
Year=2016; Rating=[950000 - 960000],1
Year=2021; Rating=[630000 - 640000],1
Year=2013; Rating=[890000 - 900000],1
Year=2015; Rating=[3990000 - 4000000],1
Year=2019; Rating=[170000 - 180000],31
Year=2014; Rating=[460000 - 470000],4
Year=2010; Rating=[630000 - 640000],3
Year=2019; Rating=[1590000 - 1600000],2
Year=2014; Rating=[290000 - 300000],14
Year=2012; Rating=[1280000 - 1290000],2
Year=2015; Rating=[230000 - 240000],14
Year=2010; Rating=[130000 - 140000],12
Year=2013; Rating=[3010000 - 3020000],1
Year=2014; Rating=[890000 - 900000],2
Year=2019; Rating=[560000 - 570000],1
Year=2010; Rating=[310000 - 320000],5
Year=2013; Rating=[540000 - 550000],2
Year=2018; Rating=[1060000 - 1070000],1
